                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1897,                 5.8071,                 2.3497,                0.01225,                0.16667,                0.01587,                0.00726,                 1.8635,                 4.5341,                 2.7591,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 2.3391,                 5.0702,                 2.4715,                0.24085,                0.33333,                0.32963,                0.20672,                  1.606,                 4.5523,                 2.2961,             0.00014854,             0.00014854,             0.00014854
                      3,                 1.9169,                 2.9815,                 2.0748,                0.75072,                   0.75,                0.71163,                0.41291,                 1.5565,                 3.0208,                 1.8862,             0.00022876,             0.00022876,             0.00022876
                      4,                 1.7634,                 2.3841,                 1.8322,                0.66731,                0.70212,                0.60141,                0.36723,                 1.5084,                 2.3651,                 1.7924,             0.00030732,             0.00030732,             0.00030732
                      5,                 1.7508,                  2.355,                 1.8369,                0.64307,                0.78927,                0.83509,                0.49084,                 1.6464,                 1.9625,                 1.8537,             0.00038424,             0.00038424,             0.00038424
                      6,                 1.5374,                 1.8667,                 1.6623,                0.44937,                0.58333,                0.47043,                0.27263,                 1.5821,                 2.5147,                 1.8455,              0.0004595,              0.0004595,              0.0004595
                      7,                 1.6745,                 1.9328,                 1.7089,                0.69213,                0.55171,                0.62722,                0.33426,                 1.5584,                 2.3948,                 1.9358,             0.00053311,             0.00053311,             0.00053311
                      8,                 1.5395,                 1.9127,                 1.6197,                0.69814,                   0.75,                 0.7253,                0.44931,                 1.4288,                 3.2091,                 1.9472,             0.00060508,             0.00060508,             0.00060508
                      9,                 1.5651,                  1.674,                   1.65,                0.62729,                   0.75,                0.68406,                0.43023,                 1.3544,                 6.0608,                 1.8875,             0.00067539,             0.00067539,             0.00067539
                     10,                 1.4845,                 1.7344,                 1.6034,                 0.4866,                0.66667,                0.57477,                0.31483,                 1.5337,                 6.4841,                 2.0892,             0.00074405,             0.00074405,             0.00074405
                     11,                 1.4958,                 1.6135,                 1.6064,                0.70096,                  0.625,                0.56446,                0.31817,                 1.6249,                 4.9633,                 2.0493,             0.00081106,             0.00081106,             0.00081106
